ListID,Name,FullName,CompanyName,ContactName,Email,Phone,AltPhone,Fax,BillAddress,BillCity,BillState,BillZip,BillCountry,ShipAddress,ShipCity,ShipState,ShipZip,ShipCountry,CustomerType,Terms,SalesRep,Balance,TotalBalance,CreditLimit,AccountNumber,IsActive,Notes
800000F3-1617705692,AIIT COMPUTER CENTRE & COMMUNICATION,AIIT COMPUTER CENTRE & COMMUNICATION,AIIT COMPUTER CENTRE & COMMUNICATION,,,,,,"AIIT COMPUTER CENTRE & COMMUNICATION, 26, MUTHUWELLA MW,",COLOMBO 15.,,,,,,,,,,,,0.00,0.00,0,,1,
800000F2-1617705692,AIR COM,AIR COM,AIR COM,,,,,,AIR COM,,,,,,,,,,,,,0.00,0.00,0,,1,
800000F1-1617705692,Airport & Aviation Services(Sri Lanka)Ltd,Airport & Aviation Services(Sri Lanka)Ltd,Airport & Aviation Services(Sri Lanka)Ltd,,,,,,"Airport & Aviation Services(Sri Lanka)Ltd, Head Of IT, IT Division, ",Katunayake.,,,,,,,,,,,,0.00,0.00,0,,1,
800002CE-1736393954,AIT Business Solution (Pvt) Ltd,AIT Business Solution (Pvt) Ltd,,,,,,,"AIT Business Solution (Pvt) Ltd, No.106, Bernad's Business Park, ",VAT No.103522900-7000,,,,,,,,,,,A,139179.00,139179.00,0,,1,
800000F0-1617705692,Aitken Spence (Garment) Ltd,Aitken Spence (Garment) Ltd,Aitken Spence (Garment) Ltd,,purchasing@aitkenspence.lk,342247386 -2248923/4,,3422447387,"Aitken Spence (Garment) Ltd, No:222, ",Matugama.,,,,,,,,,,,,0.00,0.00,0,,1,
800000EF-1617705692,Aitken Spence Apparels (Pvt) Ltd,Aitken Spence Apparels (Pvt) Ltd,Aitken Spence Apparels (Pvt) Ltd,,purchasing@aitkenspence.lk,0912234083,,,"Aitken Spence Apparels (Pvt) Ltd, Lot No 7, ",Habaraduwa.,,,,,,,,,,,,0.00,0.00,0,,1,
800000EE-1617705692,Aitken Spence Cargo (pvt) Ltd,Aitken Spence Cargo (pvt) Ltd,"AITKEN SPENCE CARGO (PVT) LTD.,",,,,,,"AITKEN SPENCE CARGO (PVT) LTD., , 315, Vauxhall Street,",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000ED-1617705692,Aitken Spence PLC,Aitken Spence PLC,Aitken Spence PLC,,,,,,"Aitken Spence PLC, Finance Division, ",Colombo 02,,,,,,,,,,,,0.00,0.00,0,,1,
800000EC-1617705692,Aitken Spence Power,Aitken Spence Power,Aitken Spence Power,,,,,2345132,"Aitken Spence Power, , Ace Power Embilipitiya Pvt Ltd",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000EB-1617705692,Aitken Spence Printing & Packaging(Pvt)Lt,Aitken Spence Printing & Packaging(Pvt)Lt,Aitken Spence Printing & Packaging(Pvt)Lt,,,2976312,,2976314,"Aitken Spence Printing &Packaging(Pvt)Ltd, No:90, ",Siyambalape.,,,,,,,,,,,AS,0.00,0.00,0,,1,
800000EA-1617705691,Aitken Spence Shipping Ltd.,Aitken Spence Shipping Ltd.,AITKEN SPENCE SHIPPING LTD.,,,,,,"AITKEN SPENCE SHIPPING LTD., No: 315, Vauxhall street,",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000E9-1617705691,Aitken Spence Travels (Private)Limited.,Aitken Spence Travels (Private)Limited.,Aitken Sepence Travels (Private)Limited,,,,,,"Aitken Spence Travels (Private)Limited, , Aitken Spence Towers II, ",Colombo 2.,,,,,,,,,,,,0.00,0.00,0,,1,
800000E8-1617705691,AJITH,AJITH,AJITH,,,,,,"AJITH, PUTTALAM",,,,,,,,,,,,,0.00,0.00,0,,1,
800000E7-1617705691,Ajith Samaranayake,Ajith Samaranayake,,Ajith,,0777302130,,,"Ajith Samaranayake, 75/4 Kynsey Road,",Colombo 08,,,,,,,,,,,,0.00,0.00,0,,1,
800000E6-1617705691,Akbar Brothers (Pvt) Ltd,Akbar Brothers (Pvt) Ltd,,,,,,,"Akbar Brothers (Pvt) Ltd,  # 334 , T B Jayah Mawatha, ",Sri Lanka.,,,,,,,,,,,,0.00,0.00,0,,1,
800000E5-1617705691,AKNY COMPUTERS,AKNY COMPUTERS,AKNY COMPUTERS,SHAMELA I. THOMAS,AKNYCOMPUTERS@GMAIL.COM,2807070,,2807071,"SHAMELA I. THOMAS, AKNY COMPUTERS",NAWALA,,,,,,,,,,,,0.00,0.00,0,,1,
8000018B-1631525392,Akoit Solutions,Akoit Solutions,Akoit Solutions,,,,,,"Akoit Solutions, No 142E/1",Warakapola,,,,,,,,,,,AD,0.00,0.00,0,,1,
80000205-1661404844,AL - ARAF HOTELS & RESORT (PVT) LTD,AL - ARAF HOTELS & RESORT (PVT) LTD,,,,,,,"TIN No. 102433866, AL - ARAF HOTELS & RESORT (PVT) LTD","Bonavista, Nuwara Eliya.",,,,,,,,,,Cheque,AS,23320.35,23320.35,0,,1,
800000E4-1617705691,Aliya Resort & Spa,Aliya Resort & Spa,,,,,,,"Aliya Resort & Spa, Avudangawa",Sigiriya,,,,,,,,,,,,0.00,0.00,0,,1,
800000E3-1617705691,ALLIANCE FRANCAISE,ALLIANCE FRANCAISE,ALLIANCE FRANCAISE,MR. NIROSHAN,,2688735,,,"MR. NIROSHAN, ALLIANCE FRANCAISE",COLOMBO 07.,,,,,,,,,,,,0.00,0.00,0,,1,
800000E2-1617705691,Alliance Media Company (Pvt) Ltd,Alliance Media Company (Pvt) Ltd,Alliance Media Company (Pvt) Ltd,,hisham@alliancemedia.lk,2300755,,,"Alliance Media Company (Pvt) Ltd., No 02",Colombo 02,,,,,,,,,,,,0.00,0.00,0,,1,
80000322-1765787490,Allied Techno Services Pvt Ltd,Allied Techno Services Pvt Ltd,Allied Techno Services Pvt Ltd,,,,,,"Allied Techno Services Pvt Ltd, 21A Kirula Place, ",VAT No. 174883653 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800001D6-1643858941,AlloT Technologies (Pvt) Ltd,AlloT Technologies (Pvt) Ltd,AlloT Technologies (Pvt) Ltd,,,,,,"AllOT TECHNOLOGIES (PVT)LTD, No.631, 6th Floor Jana Jaya City, ",VAT No.102994469-7000,,,,AllOT TECHNOLOGIES (PVT)LTD,,6th Floor Jana,,,,,AD,0.00,0.00,0,,1,
800000E1-1617705691,Alpha Industries,Alpha Industries,,,,,,,"Alpha Industries (Pvt) Ltd, Iceland Building",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
8000020B-1662031110,Alphasonic Technologies (Pvt) Ltd,Alphasonic Technologies (Pvt) Ltd,,,,,,,"TIN No.101045234, Alphasonic Technologies (Pvt) Ltd","Nawala, Rajagiriya.",,,,,,,,,,Cheque,A,0.00,0.00,0,,1,
800000E0-1617705691,Amana Global Limited,Amana Global Limited,Amana Global Limited,,,,,,"Amana Global Limited, No:06, ",colombo 04,,,,,,,,,,,,0.00,0.00,0,,1,
800000DF-1617705691,Amana Holdings,Amana Holdings,,,,,,,"Amana Holdings, No 6, Glen Aber Place",,Glen,,,,,,,,,,,0.00,0.00,0,,1,
8000021A-1666173770,American College Of Higher Education,American College Of Higher Education,,,,,,,"American College Of Higher Education, No.502, Peradeniya Road,",Kandy.,,,,,,,,,,,AR,0.00,0.00,0,,1,
800000DE-1617705691,American Premium Water Systems (Pvt)Ltd,American Premium Water Systems (Pvt)Ltd,,,stores@apwssl.com,0117-400780,,,"American Premium Water Systems (Pvt)Ltd, Level 06, No:281, ",VAT No.114143693-7000,,,,,,,,,,,A,0.00,0.00,0,,1,
800000DD-1617705691,American Water,American Water,American Water,,,,,,"American Water, Level-06, #281",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
800000DC-1617705691,AMGA VIDEO & COMMUNICATION,AMGA VIDEO & COMMUNICATION,AMGA VIDEO & COMMUNICATION,,,,,,"AMGA VIDEO & COMMUNICATION, 616 PERADENIYA RD. KANDY",,,,,,,,,,,,,0.00,0.00,0,,1,
800000DB-1617705691,AMMAN@CAFE,AMMAN@CAFE,AMMAN@CAFE,,,,,,"AMMAN@CAFE, 388A, BASE LINE ROAD, ",COLOMBO 09.,,,,,,,,,,,,0.00,0.00,0,,1,
80000294-1717485264,AMTEC ELECTRONIC (PVT) LTD,AMTEC ELECTRONIC (PVT) LTD,,,,,,,"AMTEC CCTV (PVT) LTD, 66/1, Crystal Plaza, ",Colombo 11,,,,,,,,,,,AR,47700.00,47700.00,0,,1,
800000DA-1617705690,AMW Computers (Pvt) Ltd,AMW Computers (Pvt) Ltd,,,,,,,"A M W Computers (Pvt) Ltd, No 06c, Station Road , ",VAT No,,174921091-700,,,,,,,,,,0.00,0.00,0,,1,
800000D9-1617705690,Analytical Instruments (Pvt) Ltd,Analytical Instruments (Pvt) Ltd,,,,,,,"Analytical Instruments (Pvt) Ltd, No 100, Elvitigala Mawatha,",Colombo 08,,,,,,,,,,,,0.00,0.00,0,,1,
800000D8-1617705690,And Beyond,And Beyond,And Beyond,,nigel.hay@andBeyondindia.com,0115-289570,,,"And Beyond, No:140, ","AEC Building, Colombo 02",,,,,,,,,,,AD,0.00,0.00,0,,1,
80000210-1663237836,Anexta Business Solutions (Pvt) Ltd,Anexta Business Solutions (Pvt) Ltd,Anexta Business Solutions (Pvt) Ltd,,,,,,"Anexta Business Solutions (Pvt) Ltd, No. 9 1/1, ",VAT No. 114815594 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
80000214-1664170993,ANVERALLY & SONS (PVT) LTD,ANVERALLY & SONS (PVT) LTD,ANVERALLY & SONS (PVT) LTD,,,,,,"ANVERALLY & SONS (PVT) LTD, No. 17, ",VAT No.114087386-7000,,,,,,,,,,,A,0.00,0.00,0,,1,
800001F3-1654663439,Apex Business Solutions PVT Ltd.,Apex Business Solutions PVT Ltd.,Apex Business Solutions PVT Ltd.,,,,,,"Apex Business Solutions PVT Ltd., No, 300 3/1, ",VAT Reg No. 102891546 -,,7000,,,,,,,,,AD,0.00,0.00,0,,1,
800000D7-1617705690,APL,APL,APL Lanka (Private) Limited,Anton,,,,,"APL Lanka (pvt)Ltd, , No:8, 3rd Floor, York Arcade Bldg, ",Colombo 01.,,,,,,,,,,,,0.00,0.00,0,,1,
800000D6-1617705690,APL Logistics,APL Logistics,,,,,,,"APL Logistics Lanka Freight Forwarding, (Pvt) Ltd",Colombo 01,,,,,,,,,,,,0.00,0.00,0,,1,
800000D5-1617705690,APS COMPUTERS,APS COMPUTERS,APS COMPUTERS,,,,,,"APS COMPUTERS, 35 1/1, 7TH CROSS STREET,",,7TH,,,,,,,,,,,0.00,0.00,0,,1,
800002E7-1743501667,ARC ONE (Pvt) Ltd,ARC ONE (Pvt) Ltd,,,,,,,"ARC ONE (Pvt) Ltd, Level 35, West Tower , ",VAT No.103118018-7000,,,,,,,,,,,AD,177000.00,177000.00,0,,1,
800000D4-1617705690,Arc Tech,Arc Tech,Arc Tech Lanka (Pvt) Ltd.,,,,,,"Arc Tech Lanka (Pvt) Ltd., 108/4, Rosmead Place",Colombo 07.,,,,,,,,,,,,0.00,0.00,0,,1,
80000218-1665133006,Archnix (Pvt) Ltd,Archnix (Pvt) Ltd,Archnix (Pvt) Ltd,,,,,,"Archnix (Pvt) Ltd, No:304 1/1, Union Place,",Colombo 02,,,,,,,,,,,A,0.00,0.00,0,,1,
80000274-1706848257,Armanack Holding (Pvt) Ltd,Armanack Holding (Pvt) Ltd,,,,,,,"Armanack Holding (Pvt) Ltd, 98/3, Lake Drive, ",VAT Reg No.,,103199980-700,,,,,,,,,AS,0.00,0.00,0,,1,
800000D3-1617705690,ARPICO FINANCE CO.(LTD),ARPICO FINANCE CO.(LTD),ARPICO FINANCE CO.(LTD),,,,,,"ARPICO FINANCE COMPANY PLC, No 146 , HAVELOCK ROAD,",COLOMBO 05,,,,,,,,,,,,0.00,0.00,0,,1,
800002AB-1725352695,AS-tron Solutions (Pvt) Ltd,AS-tron Solutions (Pvt) Ltd,,,,,,,"AS-tron Solutions (Pvt) Ltd, 328-2, ",Battaramulla.,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000D2-1617705690,AS IT Solution,AS IT Solution,AS IT Solution,,,,,,"AS IT Solution, No:134/B, ",Piliyandala,,,,,,,,,,,,0.00,0.00,0,,1,
8000028A-1714633007,Ascension Technologies (Pvt) Ltd,Ascension Technologies (Pvt) Ltd,,,,,,,"Ascension Information, Technologies (Pvt) Ltd",VAT No.106806403-7000,,,,,,,,,,,AD,0.00,0.00,0,,1,
800000D1-1617705690,Asia broadcasting cop (Hiru Tv),Asia broadcasting cop (Hiru Tv),,,,,,,"Asia Broadcasting corporation (pvt)Ltd, Level 37","East Tower, Word Tradr Center",Word,,,,,,,,,,,0.00,0.00,0,,1,
800000D0-1617705690,Asia Capital,Asia Capital,Asia Capital Ltd,,,,,,"ASIA CAPITAL PLC., , 21-01, West Tower, ",Colombo 01.,,,,,,,,,,,,0.00,0.00,0,,1,
800000CF-1617705690,Asia Digital Entertainment (Pvt)Ltd,Asia Digital Entertainment (Pvt)Ltd,,,,,,,"Asia Digital Entertainment (Pvt)Ltd, Level 21, West Tower, ",Colombo 01.,,,,,,,,,,,,0.00,0.00,0,,1,
800000CE-1617705690,Asia Disital Entertainment (Pvt)Ltd,Asia Disital Entertainment (Pvt)Ltd,ASIA DISITAL ENTERTAINMENT (PVT)LTD,,,,,,"ASIA DISITAL ENTERTAINMENT (PVT)LTD, Level 21, West Tower, ",Colombo 01,,,,,,,,,,,,0.00,0.00,0,,1,
800000CD-1617705689,Asia Pacific Technology Systems (Pvt) Ltd,Asia Pacific Technology Systems (Pvt) Ltd,,Inoka,,0115738070,,,"TIN No. 174747784, Asia Pacific Technology Systems (Pvt) Ltd",Colombo-03,,,,,,,,,,Cheque,AD,682040.00,682040.00,0,,1,
8000027D-1710307968,Asiacom Engineering Services (Pvt) Ltd.,Asiacom Engineering Services (Pvt) Ltd.,,,,,,,"Asiacom Engineering Services (Pvt) Ltd., 2nd Floor, McLarens Building, ",VAT No.,,103215722-700,,,,,,,,,AD,5900.00,5900.00,0,,1,
800000CC-1617705689,"ASIAN ALLIANCE INSURANCE CO LTD.,","ASIAN ALLIANCE INSURANCE CO LTD.,","ASIAN ALLIANCE INSURANCE CO LTD.,",,,,,,"ASIAN ALLIANCE INSURANCE CO LTD., , 7th Floor, Millenium House, ",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,1,
800000CB-1617705689,"ASIAN ALLIANCE INSURANCE PLC.,","ASIAN ALLIANCE INSURANCE PLC.,",,,,,,,"ASIAN ALLIANCE INSURANCE PLC., , No:283, ",Colombo 03,,,,,,,,,,,,0.00,0.00,0,,1,
800000CA-1617705689,ASIAN COMPUTERS,ASIAN COMPUTERS,ASIAN COMPUTERS,MR. LALIT,,2595854,,2505235,"MR. LALIT, ASIAN COMPUTERS",COLOMBO 04,,,,,,,,,,,,0.00,0.00,0,,1,
800000C9-1617705689,Asian Group of Companies,Asian Group of Companies,Asian Group of Companies,,,,,,"Asian Group of Companies (Pvt) Ltd, No.47 Maha Vidyalaya Mawatha",Colombo13,,,,,,,,,,,A,0.00,0.00,0,,1,
800000C8-1617705689,ASIAN MEDIA PUBLICATION (PVT)LTD,ASIAN MEDIA PUBLICATION (PVT)LTD,Asian Media Publications (Pvt)Ltd,,,0112522555,,0112529233,"Asian Media Publications (Pvt)Ltd, No:185, Grandpass Road,",Colombo 14.,,,,,,,,,,,,0.00,0.00,0,,1,
800000C7-1617705689,Asian Office Solutions,Asian Office Solutions,Asian Office Solutions,,,,,,"Asian Office Solutions, 69 Delkanda Plaza,",Nugegoda,,,,,,,,,,,,0.00,0.00,0,,1,
800000C6-1617705689,Asian Paints (Lanka) Limited,Asian Paints (Lanka) Limited,,,,,,,"Asian Paints (Lanka) Limited, No 81, Koralawella Road,",Moratuwa.,,,,,,,,,,,,0.00,0.00,0,,1,
800000C5-1617705689,ASIANA PUBLISHERS (PVT) LTD,ASIANA PUBLISHERS (PVT) LTD,ASIANA PUBLISHERS (PVT) LTD,,,,,,ASIANA PUBLISHERS (PVT) LTD,,,,,,,,,,,,,0.00,0.00,0,,1,
800000C4-1617705689,Asiri,Asiri,Asiri Surgical Hospital PLC,,,,,,"ASIRI SURGICAL HOSPITALS PLC., , 21, Kirimandala Mawatha, ",Colombo 05.,,,,,,,,,,,,0.00,0.00,0,,1,
800001B6-1639397051,Asiri Hospital Matara (Pvt) Ltd,Asiri Hospital Matara (Pvt) Ltd,Asiri Hospital Matara (Pvt) Ltd,,,,,,"Asiri Hospital Matara (Pvt) Ltd, No 26 Espalanda Road, ",Matara,,,,,,,,,,,A,0.00,0.00,0,,1,
800000C3-1617705689,Asiri Hospital PLC,Asiri Hospital PLC,Asiri Hospital PLC,Sangeeth,,07772972518,,,"ASIRI HOSPITAL HOLDINGS PLC, ,  181, Kirula Rd, Narahenpita, ",Sri Lanka.,,,,,,,,,,,,0.00,0.00,0,,1,
800002EF-1748496840,Asiri Surgical Hospital,Asiri Surgical Hospital,Asiri Surgical Hospital,,,,,,"Asiri Surgical Hospital, 21, Kirimandala Mawatha, ",VAT NO :,,124256500-700,,,,,,,,,AS,0.00,0.00,0,,1,
800000C2-1617705689,ASP NET,ASP NET,ASP NET,,,,,,"ASP NET, MODARA",COLOMBO 15,,,,,,,,,,,,0.00,0.00,0,,1,
800000C1-1617705688,ASP WORLD TECH WAY INTERNET CAFE,ASP WORLD TECH WAY INTERNET CAFE,ASP WORLD TECH WAY INTERNET CAFE,,,,,,"ASP WORLD TECH WAY INTERNET CAFE, WATTALA",,,,,,,,,,,,,0.00,0.00,0,,1,
