ListID,Name,FullName,CompanyName,ContactName,Email,Phone,AltPhone,Fax,BillAddress,BillCity,BillState,BillZip,BillCountry,ShipAddress,ShipCity,ShipState,ShipZip,ShipCountry,CustomerType,Terms,SalesRep,Balance,TotalBalance,CreditLimit,AccountNumber,ResaleNumber,VatNumber,TinNumber,IsVatRegistered,TaxItemRef,TaxCodeRef,IsActive,Notes
80000487-1559283795,Abans PLC.,Abans PLC.,Abans PLC,,,,,,"Abans PLC, 3rd Floor, No. 498, , Galle Road,",Colombo 03,,,,,,,,,,,L,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
80000277-1395143388,ABC,ABC,ABC,,,,,,ABC,,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800001C0-1291258609,ABC Computers,ABC Computers,ABC Computers,,,,,,"ABC Computers (Pvt) Ltd., 48 Ward Place,",Colombo 07,,,,,,,,,,Due on receipt,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000001A-1238680044,ABC TRADE & INVESTMENTS (PVT) LTD,ABC TRADE & INVESTMENTS (PVT) LTD,ABC TRADE & INVESTMENTS (PVT) LTD,Jayaseelan,info@abcsrilanka.biz,5877700,,2677284,"ABC Trade & Invesments (Pvt)Ltd, No 3. Bandaranayakapura Road",Rajagiriya,,,,,,,,,,Due on receipt,AS,0.00,0.00,0,ABC,,,,0,,,1,
80000420-1528956551,Abercrombie & Kent (Pvt) Ltd,Abercrombie & Kent (Pvt) Ltd,,,,,,,"Abercrombie & Kent (Pvt) Ltd, Level 17 , Access tower, , 278/4, Union Place, Colombo 02",VAT No,,114150460-700,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800004E8-1598612493,Abeygunawardene Associates (PVT) Ltd,Abeygunawardene Associates (PVT) Ltd,Abeygunawardene Associates (PVT) Ltd,,,,,,"Abeygunawardene Associates (PVT) Ltd, No- 29, Purana Road, , Wattegedara",Maharagama,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000001C-1238680044,ACA IT PARK,ACA IT PARK,ACA IT PARK,MR. SRIKANTH,,2470519,,,"MR. SRIKANTH, ACA IT PARK",248 GEORGE R.,DE,,,,,,,,,,,0.00,0.00,0,ACA,,,,0,,,1,
8000026A-1389928682,Access Projects,Access Projects,Access Projects,,,,,,Access Projects,,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,...,1,
800002BD-1434521014,Access Projects (Pvt)Ltd,Access Projects (Pvt)Ltd,Access Projects (Pvt)Ltd,,,,,,"Access Projects (Pvt)Ltd, No:40, , Park Lane,",Rajagiriya,,,,"Head Office, ",Rajagiriya,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800004CE-1583922054,Accura-Tech Accurate Technologies,Accura-Tech Accurate Technologies,Accura-Tech Accurate Technologies,,,,,,"Accura-Tech Accurate Technologies, No 48, IBM building II , , 3rd Floor, , Nawam Mawatha,",Colombo 2.,,,,,,,,,,,,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800002A1-1417149779,Ace Apparels (Pvt) Ltd,Ace Apparels (Pvt) Ltd,Ace Apparels (Pvt) Ltd,,,,,,"Ace Apparels (Pvt) Ltd, Lot No 01, EPZ, Koggala,",Habaraduwa.,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
800001F7-1316576521,Ace International Express (pvt) Ltd,Ace International Express (pvt) Ltd,"ACE INTERNATIONAL EXPRESS (PVT) LTD.,",,,,,,"ACE INTERNATIONAL EXPRESS (PVT) LTD., , 315, Vauxhall Street,",Colombo 02.,,,,,,,,,,Due on receipt,SS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800001E5-1311313629,Ace Power Embilipitiya (pvt) Ltd,Ace Power Embilipitiya (pvt) Ltd,"ACE POWER EMBILIPITIYA (PVT) LTD.,",,,,,,"ACE POWER EMBILIPITIYA (PVT) LTD., , 305, Vauxhall Street,",Colombo 02.,,,,,,,,,,Due on receipt,SS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000481-1556605158,Acecam (Pvt) Ltd,Acecam (Pvt) Ltd,Acecam (Pvt) Ltd,,,,,,"Acecam (Pvt) Ltd, 419-2/1 Galle Rd,",Colombo 03,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000517-1623385831,ACSYS NETWORKS PRIVATE LIMITED,ACSYS NETWORKS PRIVATE LIMITED,ACSYS NETWORKS PRIVATE LIMITED,,,,,,"ACSYS NETWORKS PRIVATE LIMITED, Level 12, Parkland Building, , No.33, Park Street,",Colombo 02,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800004F4-1603777260,Adapt Information Technologies (Pvt) Ltd,Adapt Information Technologies (Pvt) Ltd,Adapt Information Technologies (Pvt) Ltd,,,,,,"Adapt Information Technologies (Pvt) Ltd, No 106, Bernards Business Park, , Dutugemunu St,",Dehiwala-Mount Lavinia,,,,,,,,,,,A,640834.00,640834.00,0,,,,,0,Non VAT,Tax,1,
8000001D-1238680044,ADVANCE DIGITAL SYSTEMS,ADVANCE DIGITAL SYSTEMS,ADVANCE DIGITAL SYSTEMS,,,2949839,,2949839,"ADVANCE DIGITAL SYSTEMS, 15A, FIRST FLOOR, , STATION ROAD, HENDELLA JUNCTION",WATTALA,,,,,,,,,,,,0.00,0.00,0,AD,,,,0,,,1,
80000395-1500034129,Advance Network Technologies (Pvt)Ltd,Advance Network Technologies (Pvt)Ltd,,,,,,,"Advance Network Technologies(Pvt)Ltd, No 145, Kithulampitiya Road, , Uluwitike",Galle.,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800001B7-1286535762,Advanced Micro Technology,Advanced Micro Technology,Advanced Micro Technology (Pvt) Ltd,,,,,,"Advanced Micro Technology (Pvt) Ltd, 563/17, Sarasavi Mawatha, , Nawala Road,",Rajagirya,,,,,,,,,,Due on receipt,SS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800003F9-1520224241,ADZ Insurance Brokers(Pvt) Ltd,ADZ Insurance Brokers(Pvt) Ltd,,,,,,,"ADZ Insurance Brokers(Pvt) Ltd, No 140, Vauxhall Street, , Colombo 02",VAT No,,114255742-700,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800001C9-1293981158,Aepona - valistar,Aepona - valistar,AePONA Int Lanka (pvt) Ltd,,,,,,"AEPONA INTERNATIONAL LANKA (PVT) LTD., , 4th Floor, 123 Bauddhaloka Mawatha, ",Colombo 04,,00400,,,,,,,,Net 30,SS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000022A-1349674534,Aero Lanka Enterprises,Aero Lanka Enterprises,Aero Lanka Enterprises,,,,,,"Aero Lanka Enterprises, , 323, 2/5, , Old Moor Street,",colombo 12.,,,,,,,,,,,,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000029D-1413875554,AG International (PTE)Ltd,AG International (PTE)Ltd,AG International (PTE)Ltd,,,,,,"AG International (PTE)Ltd, No:112-114, , Braybrooke Place,",Colombo 02,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
8000001F-1238680044,AIIT COMPUTER CENTRE & COMMUNICATION,AIIT COMPUTER CENTRE & COMMUNICATION,AIIT COMPUTER CENTRE & COMMUNICATION,,,,,,"AIIT COMPUTER CENTRE & COMMUNICATION, 26, MUTHUWELLA MW,",COLOMBO 15.,,,,,,,,,,,,0.00,0.00,0,AIIT,,,,0,,,1,
80000020-1238680044,AIR COM,AIR COM,AIR COM,,,,,,AIR COM,,,,,,,,,,,,,0.00,0.00,0,AIR,,,,0,,,1,
800002F9-1456557348,Airport & Aviation Services(Sri Lanka)Ltd,Airport & Aviation Services(Sri Lanka)Ltd,Airport & Aviation Services(Sri Lanka)Ltd,,,,,,"Airport & Aviation Services(Sri Lanka)Ltd, Head Of IT, IT Division, , Bandaranayaike International Airport,",Katunayake.,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
800002A0-1417145884,Aitken Spence (Garment) Ltd,Aitken Spence (Garment) Ltd,Aitken Spence (Garment) Ltd,,purchasing@aitkenspence.lk,342247386 -2248923/4,,3422447387,"Aitken Spence (Garment) Ltd, No:222, , Agalawattta Road,",Matugama.,,,,,,,,,,,,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
8000030B-1462348980,Aitken Spence Apparels (Pvt) Ltd,Aitken Spence Apparels (Pvt) Ltd,Aitken Spence Apparels (Pvt) Ltd,,purchasing@aitkenspence.lk,0912234083,,,"Aitken Spence Apparels (Pvt) Ltd, Lot No 7, , Export Processing Zone, , Koggala,",Habaraduwa.,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,Non VAT,...,1,
800001F8-1316576762,Aitken Spence Cargo (pvt) Ltd,Aitken Spence Cargo (pvt) Ltd,"AITKEN SPENCE CARGO (PVT) LTD.,",,,,,,"AITKEN SPENCE CARGO (PVT) LTD., , 315, Vauxhall Street,",Colombo 02.,,,,,,,,,,Due on receipt,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000208-1323761785,Aitken Spence PLC,Aitken Spence PLC,Aitken Spence PLC,,,,,,"Aitken Spence PLC, Finance Division, , Aitken Spence Towers, , 305, Vauxhall Street,",Colombo 02,,,,Aitken Spence PLC,Colombo 02,,,,,Due on receipt,dil,0.00,0.00,0,,,,,0,Non VAT,...,1,
80000232-1358418892,Aitken Spence Power,Aitken Spence Power,Aitken Spence Power,2308308,,,,2345132,"Aitken Spence Power, , Ace Power Embilipitiya Pvt Ltd, No:305, , Vauxhall Street,",Colombo 02.,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,...,1,
80000285-1403767048,Aitken Spence Printing & Packaging(Pvt)Lt,Aitken Spence Printing & Packaging(Pvt)Lt,Aitken Spence Printing & Packaging(Pvt)Lt,,,2976312,,2976314,"Aitken Spence Printing & Packaging(Pvt)Lt, No:90, , St.Rjta's Estate, , Mawaramandiya,",Siyambalape.,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,...,1,
800001D7-1303379385,Aitken Spence Shipping Ltd.,Aitken Spence Shipping Ltd.,AITKEN SPENCE SHIPPING LTD.,,,,,,"AITKEN SPENCE SHIPPING LTD., No: 315, Vauxhall street,",Colombo 02.,,,,,,,,,,,,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000021F-1342676003,Aitken Spence Travels (Private)Limited.,Aitken Spence Travels (Private)Limited.,Aitken Sepence Travels (Private)Limited,,,,,,"Aitken Spence Travels (Private)Limited, , Aitken Spence Towers II, , No:315, , Vauxhall Street,",Colombo 2.,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000021-1238680044,AJITH,AJITH,AJITH,,,,,,"AJITH, PUTTALAM",,,,,,,,,,,,,0.00,0.00,0,AJI,,,,0,,,1,
800001C3-1292578208,Ajith Samaranayake,Ajith Samaranayake,,Ajith Samaranayake,,0777302130,,,"Ajith Samaranayake, 75/4 Kynsey Road,",Colombo 08,,,,,,,,,,Due on receipt,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000030E-1466401240,Akbar Brothers (Pvt) Ltd,Akbar Brothers (Pvt) Ltd,,,,,,,"Akbar Brothers (Pvt) Ltd,  # 334 , T B Jayah Mawatha, , Colombo 10,",Sri Lanka.,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000022-1238680044,AKNY COMPUTERS,AKNY COMPUTERS,AKNY COMPUTERS,SHAMELA I. THOMAS,AKNYCOMPUTERS@GMAIL.COM,2807070,,2807071,"SHAMELA I. THOMAS, AKNY COMPUTERS, 27, NARAHENPITA ROAD,",NAWALA,,,,,,,,,,,,0.00,0.00,0,AKNY,,,,0,,,1,
80000522-1631915952,Akoit Solutions,Akoit Solutions,,,,,,,"Akoit Solutions, No 142E/1, Kandy Rd",Warakapola,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,,Tax,1,
800003AC-1505106777,Aliya Resort & Spa,Aliya Resort & Spa,,,,,,,"Aliya Resort & Spa, Avudangawa",Sigiriya,,,,,,,,,,,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000001E-1238680044,ALLIANCE FRANCAISE,ALLIANCE FRANCAISE,ALLIANCE FRANCAISE,MR. NIROSHAN,,2688735,,,"MR. NIROSHAN, ALLIANCE FRANCAISE, 11, BARNES PLACE,",COLOMBO 07.,,,,,,,,,,,,0.00,0.00,0,AF,,,,0,,,1,
8000025A-1383539467,Alliance Media Company (Pvt) Ltd,Alliance Media Company (Pvt) Ltd,Alliance Media Company (Pvt) Ltd,Hisham Mohamed.N,hisham@alliancemedia.lk,2300755,,,"Alliance Media Company (Pvt) Ltd., No 02, Hunupitiya Cross Road,",Colombo 02,,,,,,,,,,,D,0.00,0.00,0,,,,,0,Non VAT,...,1,
8000039C-1501650734,Alpha Industries,Alpha Industries,,,,,,,"Alpha Industries (Pvt) Ltd, Iceland Building, 49/16, Galle Road",Colombo 03,,,,,,,,,,,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000026E-1393301210,Amana Global Limited,Amana Global Limited,Amana Global Limited,,,,,,"Amana Global Limited, No:06, , Glen Aber Place,",colombo 04,,,,,,,,,,,AS,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
800003D4-1512373957,Amana Holdings,Amana Holdings,,,,,,,"Amana Holdings, No 6, Glen Aber Place",,Glen,,,,,,,,,,AS,22600.00,22600.00,0,,,,,0,VAT15%,Tax,1,
800002C9-1438168539,American Premium Water Systems (Pvt)Ltd,American Premium Water Systems (Pvt)Ltd,,,stores@apwssl.com,0117-400780,0117677113,,"American Premium Water Systems (Pvt)Ltd, Level 06, , No:281, , R.A.De Mel Mawatha,",Colombo 03.,,,,,,,,,,,A,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
800002C4-1437637651,American Water,American Water,American Water,,,,,,"American Water, Level-06, #281, R.A.De Mel Mawatha,",Colombo 03,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
80000023-1238680044,AMGA VIDEO & COMMUNICATION,AMGA VIDEO & COMMUNICATION,AMGA VIDEO & COMMUNICATION,,,,,,"AMGA VIDEO & COMMUNICATION, 616 PERADENIYA RD. KANDY",,,,,,,,,,,,,0.00,0.00,0,AMGA,,,,0,,,1,
80000025-1238680044,AMMAN@CAFE,AMMAN@CAFE,AMMAN@CAFE,,,,,,"AMMAN@CAFE, 388A, BASE LINE ROAD, , DEMATAGODA,",COLOMBO 09.,,,,,,,,,,,,0.00,0.00,0,AMMAN,,,,0,,,1,
800003EA-1516078599,AMW Computers (Pvt) Ltd,AMW Computers (Pvt) Ltd,,,,,,,"A M W Computers (Pvt) Ltd, No 06c, Station Road , , Negombo.",VAT No,,174921091-700,,,,,,,,,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000363-1488945818,Analytical Instruments (Pvt) Ltd,Analytical Instruments (Pvt) Ltd,,,,,,,"Analytical Instruments (Pvt) Ltd, No 100, Elvitigala Mawatha,",Colombo 08,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800002A5-1418284424,And Beyond,And Beyond,And Beyond,,nigel.hay@andBeyondindia.com,0115-289570,,,"And Beyond, No:140, , Vauxhall Street, 2nd Floor,","AEC Building, Colombo 02",,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,...,1,
8000019F-1272866238,APL,APL,APL Lanka (Private) Limited,Anton Fernando,,,,,"APL Lanka (pvt)Ltd, , No:8, 3rd Floor, York Arcade Bldg, , Leyden Bastian Road,",Colombo 01.,,,,APL Lanka (Private) Limited,Colombo 1,,,,,,E,0.00,0.00,0,,,,,0,Non VAT,...,1,
8000033B-1481024168,APL Logistics,APL Logistics,,,,,,,"APL Logistics Lanka Freight Forwarding, (Pvt) Ltd, No 8, 3/3, York Arcade Building, Leyden Bastian Road,",Colombo 01,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000028-1238680044,APS COMPUTERS,APS COMPUTERS,APS COMPUTERS,,,,,,"APS COMPUTERS, 35 1/1, 7TH CROSS STREET,",,7TH,,,,,,,,,,,0.00,0.00,0,APS,,,,0,,,1,
80000206-1322458322,Arc Tech,Arc Tech,Arc Tech Lanka (Pvt) Ltd.,,,,,,"Arc Tech Lanka (Pvt) Ltd., 108/4, Rosmead Place",Colombo 07.,,,,,,,,,,Due on receipt,RZ,0.00,0.00,0,,,,,0,NBT,Tax,1,
8000002A-1238680044,ARPICO FINANCE CO.(LTD),ARPICO FINANCE CO.(LTD),ARPICO FINANCE CO.(LTD),,,,,,"ARPICO FINANCE COMPANY PLC, No 146 , HAVELOCK ROAD,",COLOMBO 05,,,,,,,,,,,A,0.00,0.00,0,AR,,,,0,,,1,
800002A3-1417690379,AS IT Solution,AS IT Solution,AS IT Solution,,,,,,"AS IT Solution, No:134/B, , Dewala Road, , Makuluduwa,",Piliyandala,,,,,,,,,,,,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800003A2-1502979993,Asia broadcasting cop (Hiru Tv),Asia broadcasting cop (Hiru Tv),,,,,,,"Asia Broadcasting corporation (pvt)Ltd, Level 37","East Tower, Word Tradr Center",Word,,,,,,,,,,L,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800001AD-1280293193,Asia Capital,Asia Capital,Asia Capital Ltd,,,,,,"ASIA CAPITAL PLC., , 21-01, West Tower, , World Trade Center, , Echelon Square,",Colombo 01.,,,,Asia Capital Ltd,Colombo 01,,,,,Due on receipt,DL,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000213-1332827379,Asia Digital Entertainment (Pvt)Ltd,Asia Digital Entertainment (Pvt)Ltd,,,,,,,"Asia Digital Entertainment (Pvt)Ltd, Level 21, West Tower, , World Trade Center, , Enhelon Square,",Colombo 01.,,,,,,,,,,,SM,0.00,0.00,0,,,,,0,,Tax,1,
8000020D-1330060378,Asia Disital Entertainment (Pvt)Ltd,Asia Disital Entertainment (Pvt)Ltd,ASIA DISITAL ENTERTAINMENT (PVT)LTD,,,,,,"ASIA DISITAL ENTERTAINMENT (PVT)LTD, Level 21, West Tower, , WTC, Echelon Squre,",Colombo 01,,,,,,,,,,Net 30,SM,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000367-1490074950,Asia Pacific Technology Systems (Pvt) Ltd,Asia Pacific Technology Systems (Pvt) Ltd,,Inoka,,0115738070,,,"Asia Pacific Technology Systems (Pvt) Ltd, 422/3, Galle Road, , Colombo-03",VAT No,,174747784-700,,,,,,,,,AD,0.00,0.00,0,,,,,0,VAT15%,...,1,
8000002C-1238680045,"ASIAN ALLIANCE INSURANCE CO LTD.,","ASIAN ALLIANCE INSURANCE CO LTD.,","ASIAN ALLIANCE INSURANCE CO LTD.,",,,,,,"ASIAN ALLIANCE INSURANCE CO LTD., , 7th Floor, Millenium House, , 46/58, Nawam Mawatha,",Colombo 02.,,,,,,,,,,Due on receipt,dil,0.00,0.00,0,ASA,,,,0,NBT 1%,Tax,1,
800002D4-1443681624,"ASIAN ALLIANCE INSURANCE PLC.,","ASIAN ALLIANCE INSURANCE PLC.,",,,,,,,"ASIAN ALLIANCE INSURANCE PLC., , No:283, , R.A.De Mel Mawatha,",Colombo 03,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
8000002D-1238680045,ASIAN COMPUTERS,ASIAN COMPUTERS,ASIAN COMPUTERS,MR. LALIT,,2595854,,2505235,"MR. LALIT, ASIAN COMPUTERS, UNITIPLAZA",COLOMBO 04,,,,,,,,,,,,0.00,0.00,0,ASI,,,,0,,,1,
800004E5-1598004068,Asian Group of Companies,Asian Group of Companies,Asian Group of Companies,,,,,,"Asian Group of Companies (Pvt) Ltd, No.47 Maha Vidyalaya Mawatha",Colombo13,,,,,,,,,,,A,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000212-1331805658,ASIAN MEDIA PUBLICATION (PVT)LTD,ASIAN MEDIA PUBLICATION (PVT)LTD,Asian Media Publications (Pvt)Ltd,,,0112522555,,0112529233,"Asian Media Publications (Pvt)Ltd, No:185, Grandpass Road,",Colombo 14.,,,,,,,,,,,dil,0.00,0.00,0,,,,,0,NBT 1%,Tax,1,
800001CB-1296462745,Asian Office Solutions,Asian Office Solutions,Asian Office Solutions,,,,,,"Asian Office Solutions, 69 Delkanda Plaza,",Nugegoda,,,,,,,,,,Due on receipt,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
80000362-1488430974,Asian Paints (Lanka) Limited,Asian Paints (Lanka) Limited,,,,,,,"Asian Paints (Lanka) Limited, No 81, Koralawella Road,",Moratuwa.,,,,,,,,,,,AD,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
8000002E-1238680045,ASIANA PUBLISHERS (PVT) LTD,ASIANA PUBLISHERS (PVT) LTD,ASIANA PUBLISHERS (PVT) LTD,,,,,,ASIANA PUBLISHERS (PVT) LTD,,,,,,,,,,,,,0.00,0.00,0,ASIA,,,,0,,,1,
80000194-1264150925,Asiri,Asiri,Asiri Surgical Hospital PLC,,,,,,"ASIRI SURGICAL HOSPITALS PLC., , 21, Kirimandala Mawatha, , Narahenpita,",Colombo 05.,,,,Asiri Surgical Hospital PLC,Colombo 5,,,,,Due on receipt,AS,34000.00,34000.00,0,,,,,0,Non VAT,Tax,1,
80000199-1267338359,Asiri Hospital PLC,Asiri Hospital PLC,Asiri Hospital PLC,Sangeeth,,07772972518,,,"ASIRI HOSPITAL HOLDINGS PLC, ,  181, Kirula Rd, Narahenpita, , Colombo 05,",Sri Lanka.,,,,Asiri Hospital PLC,Colombo 05,,,Sri Lanka,,Due on receipt,AS,0.00,0.00,0,,,,,0,VAT15%,...,1,
80000030-1238680045,ASP NET,ASP NET,ASP NET,,,,,,"ASP NET, MODARA",COLOMBO 15,,,,,,,,,,,,0.00,0.00,0,ASP NET,,,,0,,,1,
8000002F-1238680045,ASP WORLD TECH WAY INTERNET CAFE,ASP WORLD TECH WAY INTERNET CAFE,ASP WORLD TECH WAY INTERNET CAFE,,,,,,"ASP WORLD TECH WAY INTERNET CAFE, WATTALA",,,,,,,,,,,,,0.00,0.00,0,ASP,,,,0,,,1,
80000175-1242631097,AssetLine,AssetLine,AssetLine Leasing Company Ltd.,,,,,,"AssetLine Leasing Company Ltd., No. 46/12, "" Sayuru Sevana"", , Nawam Mawatha,",Colombo 02,,,,AssetLine Leasing Company Ltd.,Colombo 02,,,,,Due on receipt,AS,0.00,0.00,0,,,,,0,NBT,Tax,1,
8000027B-1395637381,Assetline Leasing Company Limited,Assetline Leasing Company Limited,,,,,,,"Assetline Leasing Company Limited, 120, 120A, Pannipitiya Road,",,120A,,,,,,,,,,AS,0.00,0.00,0,,,,,0,Non VAT,Tax,1,
800002E1-1449287614,Associated Electrical Corporation Limited,Associated Electrical Corporation Limited,Associated Electrical Corporation Limited,,,,,,"Associated Electrical Corporation Limited, No:140 A, , Vauxhall Street,",Colombo 02.,,,,,,,,,,,dil,2500.00,2500.00,0,,,,,0,NBT 1%,Tax,1,
80000355-1486961267,Associated Resoorts Developers (Pvt)Ltd,Associated Resoorts Developers (Pvt)Ltd,,,,,,,"Associated Resorts Developers (Pvt)Ltd, No 49/16, Iceland Building, Colombo 3",VAT No,,114418552-700,,,,,,,,,L,0.00,0.00,0,,,,,0,VAT15%,Tax,1,
